,Proj. Type,Organization Name,Project Name,City,SPA,CD,SD,Geo Code,HMIS Participating,Inventory Type,Bed Type,Target Pop.,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Victim Service Provider,Additional Federal Funding?,Housing Type,McKinney- Vento: Yhdp,Overflow Beds,PIT Count,Total Beds,Utilization Rate,funding_sources
10,Permonent Supportive Housing,A Community of Friends,CA0347 Willis Avenue Apartments,Panorama City,2,6,3,62118,Yes,Current,,,0,0,41,0,0,0,0,0,0,41,0,No,Yes,Site-based - single site,No,0,40,41,97.561,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
11,Permonent Supportive Housing,A Community of Friends,CA0374 Fedora Apartments - Supportive Services,Los Angeles,4,10,2,62118,Yes,Current,,,0,0,22,0,0,0,0,0,0,22,0,No,Yes,Site-based - single site,No,0,20,22,90.909,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
12,Permonent Supportive Housing,A Community of Friends,CA0374 Osborne Place Apartments - Supportive Services,Los Angeles,2,7,3,62118,Yes,Current,,,94,22,37,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,131,131,100.0,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
13,Permonent Supportive Housing,A Community of Friends,CA0383 Gower Street Apartments - Supportive Services,Los Angeles,4,13,3,62118,Yes,Current,,,0,0,54,0,0,0,0,0,0,54,0,No,Yes,Site-based - single site,No,0,51,54,94.444,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
14,Permonent Supportive Housing,A Community of Friends,CA0383 Las Palomas Apartments - Supportive Services,Los Angeles,4,14,1,62118,Yes,Current,,,0,0,61,0,0,0,0,0,0,61,0,No,Yes,Site-based - single site,No,0,58,61,95.082,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
15,Permonent Supportive Housing,A Community of Friends,CA0407 Cornerstone Apartments,Van Nuys,2,6,3,62118,Yes,Current,,,0,0,3,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,3,3,100.0,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
16,Permonent Supportive Housing,A Community of Friends,CA0523 Central Court Apartments - Supportive Services,Los Angeles,6,9,2,62118,Yes,Current,,,8,3,4,0,0,0,8,0,0,4,0,No,Yes,Site-based - single site,No,0,10,12,83.333,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
17,Permonent Supportive Housing,A Community of Friends,CA0523 Project Independence Gateways - Supportive Services,Los Angeles,4,13,1,62118,Yes,Current,,,0,0,29,0,0,0,0,0,0,29,0,No,Yes,Site-based - single site,No,0,26,29,89.655,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
18,Permonent Supportive Housing,A Community of Friends,CA0523 Vista Nueva Apartments - Supportive Services,Los Angeles,4,13,1,62118,Yes,Current,,,64,14,26,0,0,0,64,0,0,26,0,No,Yes,Site-based - single site,No,0,90,90,100.0,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
19,Permonent Supportive Housing,A Community of Friends,CA0915 Willow Apartments,Compton,6,0,2,60804,Yes,Current,,,18,7,22,0,0,0,18,0,0,22,0,No,No,Site-based - single site,No,0,40,40,100.0,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
20,Permonent Supportive Housing,A Community of Friends,CA0916 Woodland Terrace,North Hills,2,7,3,62118,Yes,Current,,,82,20,25,0,0,0,82,0,0,25,0,No,No,Site-based - single site,No,0,107,107,100.0,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
21,Permonent Supportive Housing,A Community of Friends,CA0917 Brandon Apartments,Los Angeles,4,1,1,62118,Yes,Current,,,30,12,20,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,50,50,100.0,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
22,Permonent Supportive Housing,A Community of Friends,CA1104 Avalon Apartments,Los Angeles,6,0,2,62118,Yes,Current,,,31,10,12,0,0,0,31,0,0,12,0,No,No,Site-based - single site,No,0,38,43,88.372,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
23,Permonent Supportive Housing,A Community of Friends,CA1157 Las Flores - 2,Los Angeles,7,0,1,62118,Yes,Current,,,34,16,4,0,0,0,34,0,0,4,0,No,No,Site-based - single site,No,0,38,38,100.0,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
24,Permonent Supportive Housing,A Community of Friends,CA1220 Vendome Apartments,Los Angeles,4,13,1,62118,Yes,Current,,,0,0,41,0,0,0,0,0,0,41,0,No,No,Site-based - single site,No,0,38,41,92.683,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
25,Permonent Supportive Housing,A Community of Friends,Cornerstone Apartments,Van Nuys,2,6,3,62118,Yes,Current,,,22,11,24,0,0,0,22,0,0,24,0,No,No,Site-based - single site,No,0,46,46,100.0,[]
26,Permonent Supportive Housing,A Community of Friends,La Primavera,Los Angeles,4,14,1,62118,Yes,Current,,,0,0,35,0,0,0,0,0,0,35,0,No,No,Site-based - single site,No,0,27,35,77.143,[]
27,Permonent Supportive Housing,A Community of Friends,Maryland Apartments,Los Angeles,4,1,1,62118,Yes,Current,,,0,0,29,0,0,0,0,0,0,29,0,No,No,Site-based - single site,No,0,26,29,89.655,[]
28,Permonent Supportive Housing,A Community of Friends,PBV 226 Berendo,Los Angeles,4,10,2,62118,No,Current,,,0,0,47,0,0,0,0,0,0,47,0,No,No,Site-based - single site,No,0,42,47,89.362,[]
29,Permonent Supportive Housing,A Community of Friends,PBV 235 Berendo,Los Angeles,4,10,2,62118,No,Current,,,16,8,15,0,0,0,16,0,0,15,0,No,No,Site-based - single site,No,0,25,31,80.645,[]
30,Permonent Supportive Housing,A Community of Friends,PBV Arlington Square,Los Angeles,4,10,2,62118,Yes,Current,,,0,0,47,0,0,0,0,17,0,30,0,No,No,Site-based - single site,No,0,43,47,91.489,[]
31,Permonent Supportive Housing,A Community of Friends,PBV Avalon Apartments,Los Angeles,6,0,2,62118,Yes,Current,,,53,11,6,0,0,0,53,0,0,6,0,No,No,Site-based - single site,No,0,59,59,100.0,[]
32,Permonent Supportive Housing,A Community of Friends,PBV Beverly Terrace,Los Angeles,4,13,2,62118,Yes,Current,,,108,39,0,0,0,0,108,0,0,0,0,No,No,Site-based - single site,No,0,112,108,103.704,[]
33,Permonent Supportive Housing,A Community of Friends,PBV Casa del Sol,Los Angeles,2,6,3,62118,No,Current,,,0,0,43,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,42,43,97.674,['Additional Federal Funding: Other']
34,Permonent Supportive Housing,A Community of Friends,PBV Firestone Phoenix,Los Angeles,6,0,2,62118,No,Current,,,24,7,29,0,0,0,24,0,0,29,0,No,Yes,Site-based - single site,No,0,43,53,81.132,['Additional Federal Funding: Other']
35,Permonent Supportive Housing,A Community of Friends,Rayen Apartments,North Hills,2,6,3,62118,No,Current,,,23,9,17,0,0,0,23,0,0,17,0,No,No,Site-based - single site,No,0,36,40,90.0,[]
36,Permonent Supportive Housing,A Community of Friends,Santos Plaza,Los Angeles,6,8,2,62118,Yes,Current,,,0,0,36,0,0,0,0,0,0,36,0,No,No,Site-based - single site,No,0,34,36,94.444,[]
37,Permonent Supportive Housing,A Community of Friends,Selby Hotel,Los Angeles,4,13,3,62118,Yes,Current,,,0,0,28,0,0,0,0,0,0,28,0,No,No,Site-based - single site,No,0,22,28,78.571,[]
38,Permonent Supportive Housing,A Community of Friends,Silver Star Apartments,Los Angeles,6,8,2,62118,No,Current,,,0,0,48,0,0,0,0,48,0,0,0,No,Yes,Site-based - single site,No,0,42,48,87.5,['Additional Federal Funding: HUD-VASH']
39,Permonent Supportive Housing,A Community of Friends,West Terrace,Los Angeles,6,8,2,62118,No,Current,,,67,17,7,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,74,74,100.0,['Additional Federal Funding: Other']
40,Emergency Shelter,A Step to Freedom,ASF JCOD FSP Interim Housing,Los Angeles,6,9,2,62118,Yes,Current,Facility-based beds,,0,0,24,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,24,24,100.0,['Additional Federal Funding: Other']
41,Emergency Shelter,A Step to Freedom,B7 Bridge Housing Program SPA 6,Los Angeles,6,9,2,62118,Yes,Current,Facility-based beds,,0,0,24,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,21,24,87.5,['Additional Federal Funding: Other']
42,Emergency Shelter,A Step to Freedom,DHS ODR Interim Housing,Los Angeles,6,8,2,62118,No,Current,Facility-based beds,,0,0,45,0,0,0,0,0,0,0,0,No,Yes,Site-based - clustered / multiple sites,No,0,45,45,100.0,['Additional Federal Funding: Other']
44,Permonent Supportive Housing,Abode Communities,PBV Imagine Village,Lancaster,1,0,5,61914,No,Current,,,20,20,33,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,53,53,100.0,['Additional Federal Funding: PIH']
47,Emergency Shelter,"Abundant Blessings, Inc.",B7 Bridge Housing Program SPA 5,Los Angeles,6,10,2,62118,Yes,Current,Facility-based beds,,0,0,32,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,24,32,75.0,['Additional Federal Funding: Other']
48,Emergency Shelter,"Abundant Blessings, Inc.",CES Home Safe Motel Vouchers SPA 4 (Vouchers),Los Angeles,4,14,1,62118,No,Current,Voucher beds,,0,0,0,35,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,35,35,100.0,['Additional Federal Funding: Other']
49,Emergency Shelter,"Abundant Blessings, Inc.",CES Home Safe Motel Vouchers SPA 5 (Vouchers),Los Angeles,6,10,2,62118,No,Current,Voucher beds,,0,0,0,20,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,20,20,100.0,['Additional Federal Funding: Other']
50,Emergency Shelter,"Abundant Blessings, Inc.",CES Home Safe Motel Vouchers SPA 6 (Vouchers),Los Angeles,6,10,2,62118,No,Current,Voucher beds,,0,0,0,21,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,21,21,100.0,['Additional Federal Funding: Other']
51,Emergency Shelter,"Abundant Blessings, Inc.",Winter Shelter Program Ardmore SPA 6,Los Angeles,4,10,2,62118,Yes,Current,Facility-based beds,,0,0,32,0,0,0,0,0,0,0,0,No,Yes,Site-based - clustered / multiple sites,No,0,32,32,100.0,['Additional Federal Funding: Other']
52,Rapid Re-housing,"Abundant Blessings, Inc.",YHDP TLS,Los Angeles,6,10,2,62118,Yes,Current,,,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,Yes,0,0,0,,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: Yhdp']"
53,Emergency Shelter,Advancing Communities Together,Winter Shelter Program 9th St SPA 1,Palmdale,1,0,5,62658,Yes,Current,Facility-based beds,,0,0,35,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,26,35,74.286,['Additional Federal Funding: Other']
54,Permonent Supportive Housing,Affordable Living for the Aging,Parkview on the Park Apartments,Los Angeles,4,1,1,62118,Yes,Current,,,0,0,34,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,35,34,102.941,[]
55,Permonent Supportive Housing,Alcott Center for Mental Health Services,CA1594 Permanent Supportive Housing,Los Angeles,5,5,3,62118,Yes,Current,,,0,0,15,0,0,0,0,0,0,15,0,No,No,Tenant-based - scattered site,No,0,22,15,146.667,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
56,Emergency Shelter,Alcott Center for Mental Health Services,DHS Interim Housing Fisher Place,Los Angeles,6,9,2,62118,No,Current,Facility-based beds,,0,0,43,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,39,43,90.698,['Additional Federal Funding: Other']
57,Permonent Supportive Housing,"AMCAL Multi-Housing, Inc.",Florence Avenue Apartments,Los Angeles,6,0,2,62118,No,Current,,,0,0,54,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,49,54,90.741,['Additional Federal Funding: Other']
58,Permonent Supportive Housing,"AMCAL Multi-Housing, Inc.",Montecito Terrances MHSA,Pamorama,2,6,3,62118,No,Current,,,0,0,10,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,10,10,100.0,['Additional Federal Funding: Other']
59,Rapid Re-housing,American Family Housing,TLS Adult SPA 7,Whittier,7,0,4,64074,Yes,Current,,,0,0,68,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,68,68,100.0,['Additional Federal Funding: Other']
60,Rapid Re-housing,Amity Foundation,RHW/ARG - Returning Home Well,Los Angeles,6,9,2,62118,Yes,Current,,,0,0,9,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,9,9,100.0,['Additional Federal Funding: Other']
61,Emergency Shelter,Antelope Valley College,Lancaster City Homes,Lancaster,1,0,5,61914,Yes,Current,Facility-based beds,,0,0,4,0,0,0,0,0,0,0,0,No,Yes,Site-based - clustered / multiple sites,No,0,4,4,100.0,['Additional Federal Funding: Other']
63,Tranisitional Housing,Anti-Recidivism Coalition,Supportive Housing and Education Initiative Bromont,Sylmar,2,7,3,62118,Yes,Current,,,0,0,36,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,28,36,77.778,['Additional Federal Funding: Other']
64,Permonent Supportive Housing,Ascencia,Ascencia LA Care DHS (H4HC),Glendale,2,0,5,61464,Yes,Current,,,0,0,16,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,11,16,68.75,['Additional Federal Funding: Other']
65,Emergency Shelter,Asian American Drug Abuse Program Inc.,SAPC Interim Housing 18th St,Los Angeles,4,10,2,62118,No,Current,Facility-based beds,,0,0,10,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,9,10,90.0,['Additional Federal Funding: Other']
66,Emergency Shelter,Asian American Drug Abuse Program Inc.,SAPC Interim Housing Bronson,Los Angeles,6,10,2,62118,No,Current,Facility-based beds,,0,0,6,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,6,6,100.0,['Additional Federal Funding: Other']
67,Rapid Re-housing,Asian American Drug Abuse Program Inc.,TLS Adult SPA 6,Los Angeles,6,10,2,62118,Yes,Current,,,0,0,42,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,42,42,100.0,['Additional Federal Funding: Other']
68,Permonent Supportive Housing,Asian Pacific Counseling and Treatment Center,CA0914 Asian Pacific Counseling and Treatment Center,Los Angeles,4,1,1,69037,Yes,Current,,,0,0,22,0,0,0,0,0,0,0,0,No,No,Site-based - clustered / multiple sites,No,0,16,22,72.727,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
71,Emergency Shelter,Assured Lifestyle Housing Inc,Emergency Housing 74th,Los Angeles,6,9,2,62118,No - Comparable Database,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,4,20,20.0,['Additional Federal Funding: Other']
72,Emergency Shelter,Assured Lifestyle Housing Inc,Emergency Housing 98th,Los Angeles,6,8,2,62118,Yes,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,9,20,45.0,['Additional Federal Funding: Other']
73,Emergency Shelter,Assured Lifestyle Housing Inc,Winter Shelter Program El Don Motel SPA 6,Los Angeles,6,8,2,62118,Yes,Current,Facility-based beds,,0,0,11,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,11,11,100.0,['Additional Federal Funding: Other']
74,Emergency Shelter,Assured Lifestyle Housing Inc,Winter Shelter Program One Ten Motel SPA 6,Los Angeles,6,8,2,62118,Yes,Current,Facility-based beds,,0,0,9,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,9,9,100.0,['Additional Federal Funding: Other']
75,Permonent Supportive Housing,"Barker Management, Inc.",Courtyard at La Brea,West Hollywood,4,0,3,62118,No,Current,,,2,1,2,0,0,2,0,0,2,0,0,No,Yes,Site-based - single site,No,0,4,4,100.0,['Additional Federal Funding: PIH']
77,Emergency Shelter,Behavioral Health Services Inc.,SAPC Interim Housing 136th St,Hawthorne,8,0,2,61596,No,Current,Facility-based beds,,0,0,11,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,11,11,100.0,['Additional Federal Funding: Other']
78,Emergency Shelter,Behavioral Health Services Inc.,SAPC Interim Housing Crenshaw,Hawthorne,8,0,2,61596,No,Current,Facility-based beds,,0,0,10,0,0,0,0,0,0,0,0,No,Yes,Site-based - clustered / multiple sites,No,0,8,10,80.0,['Additional Federal Funding: Other']
79,Emergency Shelter,Behavioral Health Services Inc.,SAPC Interim Housing Verde Vista,Pomona,3,0,1,62850,No,Current,Facility-based beds,,0,0,8,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,7,8,87.5,['Additional Federal Funding: Other']
80,Emergency Shelter,Bridge to Home,Bridge Housing Program SPA 2,Santa Clarita,2,0,5,63356,Yes,Current,Facility-based beds,,0,0,30,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,29,30,96.667,['Additional Federal Funding: Other']
81,Emergency Shelter,Bridge to Home,Crisis Housing Program SPA 2,Santa Clarita,2,0,5,63356,Yes,Current,Facility-based beds,,0,0,30,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,29,30,96.667,['Additional Federal Funding: Other']
82,Rapid Re-housing,Bridge to Home,TLS Adult SPA 2,Santa Clarita,2,0,5,63356,Yes,Current,,,0,0,14,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,14,14,100.0,['Additional Federal Funding: Other']
83,Permonent Supportive Housing,Brilliant Corners,Arminta Square,Sun Valley,2,6,3,62118,No,Current,,,128,30,5,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,131,133,98.496,['Additional Federal Funding: Other']
87,Permonent Supportive Housing,Brilliant Corners,Florence Towne LP,Los Angeles,6,9,2,62118,No,Current,,,11,6,43,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,54,54,100.0,['Additional Federal Funding: Other']
89,Permonent Supportive Housing,Brilliant Corners,Hope on Broadway,Los Angeles,6,9,2,62118,No,Current,,,0,0,48,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,48,48,100.0,['Additional Federal Funding: Other']
93,Permonent Supportive Housing,Brilliant Corners,Washington View Apartments,Los Angeles,6,1,2,62118,No,Current,,,0,0,62,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,60,62,96.774,['Additional Federal Funding: Other']
95,Permonent Supportive Housing,Brilliant Corners,Willowbrook,Los Angeles,6,0,2,62118,No,Current,,,0,0,7,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,6,7,85.714,['Additional Federal Funding: Other']
96,Tranisitional Housing,"Broom Homestead, Inc.",Transitional Housing Edrica's House,Los Angeles,6,10,2,62118,Yes,Current,,,0,0,22,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,31,22,140.909,[]
97,Emergency Shelter,Bryant Temple CDC,B7 Bridge Housing Program,Los Angeles,6,8,2,62118,Yes,Current,Facility-based beds,,0,0,19,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,10,19,52.632,['Additional Federal Funding: Other']
98,Emergency Shelter,Bryant Temple CDC,Winter Shelter Program Second AME SPA 6,Los Angeles,6,9,2,62118,No,Current,Facility-based beds,,0,0,60,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,40,60,66.667,['Additional Federal Funding: Other']
99,Permonent Supportive Housing,Burbank Housing Corporation,Burbank Veteran Bungalows,Burbank,2,0,5,60456,No,Current,,,2,1,10,0,2,0,0,10,0,0,0,No,No,Site-based - single site,No,0,10,12,83.333,[]
100,Tranisitional Housing,Burbank Housing Corporation,Home Front,Burbank ,2,0,5,60456,No,Current,,,21,7,0,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,9,21,42.857,[]
101,Tranisitional Housing,Burbank Housing Corporation,Jerry's Promise,Burbank,2,0,5,60456,No,Current,,,14,3,0,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,12,14,85.714,['Additional Federal Funding: Other']
102,Tranisitional Housing,Burbank Housing Corporation,Linden House,Burbank,2,0,5,60456,No,Current,,,0,0,6,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,6,6,100.0,[]
103,Tranisitional Housing,Burbank Housing Corporation,Puerta Nueva Transitional Facility,Burbank ,2,0,5,60456,No,Current,,,12,5,0,0,0,0,0,0,0,0,0,No,No,Site-based - clustered / multiple sites,No,0,14,12,116.667,[]
104,Tranisitional Housing,Carlos Lopez & Associates LLC,A Bridge Home VA Campus,Los Angeles,5,0,3,62118,Yes,Current,,,0,0,80,0,0,0,0,80,0,0,0,No,Yes,Site-based - single site,No,0,54,80,67.5,['Additional Federal Funding: GPD-BH']
105,Emergency Shelter,"Catholic Charities of Los Angeles, Inc.",CCL FSC Crisis Housing 14th,Los Angeles,4,1,1,62118,Yes,Current,Facility-based beds,,20,10,0,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,22,20,110.0,['Additional Federal Funding: Other']
106,Emergency Shelter,"Catholic Charities of Los Angeles, Inc.",CES Bridge Housing Program Hawkes,Los Angeles,4,13,1,62118,Yes,Current,Facility-based beds,,0,0,10,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,8,10,80.0,['Additional Federal Funding: Other']
107,Emergency Shelter,"Catholic Charities of Los Angeles, Inc.",CES Bridge Housing Program Languille,Los Angeles,4,13,1,62118,Yes,Current,Facility-based beds,,0,0,10,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,0,10,0.0,['Additional Federal Funding: Other']
108,Emergency Shelter,"Catholic Charities of Los Angeles, Inc.",CES Crisis Housing Program Languille,Los Angeles,4,13,1,62118,Yes,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,27,20,135.0,['Additional Federal Funding: Other']
109,Emergency Shelter,"Catholic Charities of Los Angeles, Inc.",CES Enhanced Bridge Housing Older Adults Hawkes,Los Angeles,4,13,1,62118,Yes,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,18,20,90.0,['Additional Federal Funding: Other']
110,Tranisitional Housing,"Catholic Charities of Los Angeles, Inc.",Farley Family Transitional Housing,Los Angeles,4,13,1,62118,Yes,Current,,,63,21,0,0,0,0,0,0,0,0,0,No,No,Site-based - single site,No,0,39,63,61.905,[]
111,Permonent Supportive Housing,"Catholic Charities of Los Angeles, Inc.",HACLA/DHS TBSH,Los Angeles,4,1,1,62118,Yes,Current,,,24,8,0,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,25,24,104.167,"['Additional Federal Funding: PIH', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
112,Rapid Re-housing,"Catholic Charities of Los Angeles, Inc.",TLS Adult SPA 4,Los Angeles,4,1,1,62118,Yes,Current,,,0,0,3,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,3,3,100.0,['Additional Federal Funding: Other']
113,Rapid Re-housing,"Catholic Charities of Los Angeles, Inc.",TLS Adult SPA 8,Inglewood,8,0,2,61740,Yes,Current,,,0,0,11,0,0,0,0,0,0,0,0,No,Yes,Tenant-based - scattered site,No,0,11,11,100.0,['Additional Federal Funding: Other']
114,Emergency Shelter,Christ-Centered Ministries,FIST 1 (M),Los Angeles,6,9,2,62118,Yes,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,19,20,95.0,['Additional Federal Funding: Other']
115,Emergency Shelter,Christ-Centered Ministries,FIST 2 (W),Los Angeles,6,9,2,62118,Yes,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,14,20,70.0,['Additional Federal Funding: Other']
116,Emergency Shelter,Christ-Centered Ministries,FIST 3 (M),Los Angeles,6,9,2,62118,Yes,Current,Facility-based beds,,0,0,20,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,19,20,95.0,['Additional Federal Funding: Other']
